вопрос,ответ,уравень,вибори
стол,0,1,он она оно они
малчик,0,1,он она оно они
человек,0,1,он она оно они
время,2,1,он она оно они
дом,0,1,он она оно они
слово,2,1,он она оно они
нога,1,1,он она оно они
работа,1,1,он она оно они
земля,1,1,он она оно они
сила,1,1,он она оно они
лицо,2,1,он она оно они
место,2,1,он она оно они
город,0,1,он она оно они
женщина,1,1,он она оно они
ночь,1,1,он она оно они
мир,0,1,он она оно они
ряд,0,1,он она оно они
начало,2,1,он она оно они
вопрос,0,1,он она оно они
война,1,1,он она оно они
мир,0,1,он она оно они
вид,0,1,он она оно они
минута,1,1,он она оно они
рука,1,1,он она оно они
дело,2,1,он она оно они
карман,1,2,мой моя моё мои
кармани,3,2,мой моя моё мои
сила,1,2,мой моя моё мои
силы,3,2,мой моя моё мои
отец,0,2,мой моя моё мои
женщина,1,2,мой моя моё мои
машина,1,2,мой моя моё мои
машини,3,2,мой моя моё мои
начало,2,2,мой моя моё мои
вопрос,0,2,мой моя моё мои
война,0,2,мой моя моё мои
деньги,3,2,мой моя моё мои
свет,0,2,мой моя моё мои
комната,1,2,мой моя моё мои
глаз,0,2,мой моя моё мои
глази,3,2,мой моя моё мои
день,0,2,мой моя моё мои
дни,3,2,мой моя моё мои
место,2,2,мой моя моё мои
места,3,2,мой моя моё мои
лицо,2,2,мой моя моё мои
конци,3,2,мой моя моё мои
дети,3,2,мой моя моё мои
вода,0,2,мой моя моё мои
ряд,0,2,мой моя моё мои
